Genre,Indicative Word,Weight
Mystery,mystery,1.4065145614702388
Mystery,that,1.3826458904057908
Mystery,past,1.3716621348217986
Mystery,disappearance,1.2364579219864789
Mystery,incident,1.2358663848421048
Mystery,suspect,1.2003271112455003
Mystery,discover,1.1810623607198867
Romance,love,4.495504269753908
Romance,romance,2.658629581739801
Romance,woman,2.3832165055438725
Romance,romantic,1.9810928948549817
Romance,relationship,1.9328487781106682
Romance,meet,1.635992666887911
Romance,her,1.5756637452364761
Romance,fall,1.542053689720082
Romance,man,1.4693779643705938
Romance,lover,1.4547386202725396
Science,alien,3.3790752553045302
Science,planet,3.337263795003709
Science,earth,2.8952979804648353
Science,the,2.2749310907603837
Science,space,2.199705901998873
Science,future,2.0926223029323476
Science,robot,1.8613785187868057
Science,scientist,1.8608192904807028
Science,human,1.7882495331136599
Science,virus,1.488797047024174
TV,teenage,0.370289251454046
TV,worked,0.35433108726016954
TV,ever,0.28925808428104705
TV,dating,0.2870605900258506
TV,spy,0.2828690923387573
TV,mexico,0.28054806306691527
TV,daughter,0.27561990722315954
TV,service,0.2740829309729788
TV,maneating,0.2669651744129251
TV,hurricane,0.26651293379171576
Thriller,killer,2.3223263805421412
Thriller,agent,1.9105657603294504
Thriller,officer,1.7961915552535064
Thriller,murder,1.7812312461338071
Thriller,terrorist,1.5601538058445072
Thriller,wa,1.5058292238133977
Thriller,cop,1.4663541351056169
Thriller,cia,1.4076361114219722
Thriller,kidnapped,1.3432078470764914
Thriller,secret,1.34227520919179
War,war,4.43493858030453
War,during,3.1239643344186505
War,army,2.0244207187935457
War,soldier,1.8452442949062278
War,the,1.4014633809775618
War,battle,1.1884444458979575
War,persian,1.1701329541166152
War,village,1.0740991982882522
War,allied,1.0699414848891393
War,american,0.9909538131388367
Western,outlaw,2.015986117619501
Western,town,1.5934783581098941
Western,gang,1.4499118948578735
Western,cattle,1.1819466749429801
Western,land,1.0317948449978374
Western,west,1.0243053810947884
Western,brother,1.0067635134274948
Western,gunslinger,0.9610801430383872
Western,james,0.7962633862007484
